"period","high_pixel_count","total_pixels","high_area_km2","pct_change","jenks_break_high"
"current",29357,140910,22334,0,0.50229
"future_2021_2040",54734,144951,40479,81.2,0.748166
"future_2041_2060",64197,144951,47478,112.6,0.669413
