"period","high_pixel_count","total_pixels","high_area_km2","pct_change","jenks_break_high"
"current",7173,140910,5457,0,0.574586
"future_2021_2040",31730,144951,23466,330,0.824985
"future_2041_2060",53239,144951,39373,621.5,0.81516
